customer_id,full_name,age,gender,city,signup_date,annual_income,monthly_spend,is_subscribed,score
U1000,User 0,37.0,female,Delhi,09/03/2024,54823.61,390.4,1,56
U1001,User 1,34.0,male,DELHI,07-10-2024,44162.12,122.16,No,95
U1002,User 2,31.0,Female,Bengaluru,,88301.67,241.41,1,5
U1003,User 3,45.0,Male,Bangalore,2024-07-24,87393.97,43.05,0,84
U1004,User 4,47.0,male,Delhi,02-13-2024,55501.66,117.46,True,42
U1005,User 5,58.0,,Mumbai,,62134.15,144.86,1,44
U1006,User 6,49.0,Female,Bengaluru,2024-05-07,58088.45,124.79,YES,69
U1007,User 7,34.0,F,Hyderabad,10-09-2024,55960.21,,False,77
U1008,User 8,43.0,M,Delhi,09/03/2024,56736.29,91.16,False,17
U1009,User 9,40.0,Male,DELHI,03-29-2024,76129.98,233.84,YES,71
U1010,User 10,53.0,female,Delhi,10-24-2024,35776.22,98.0,1,98
U1011,User 11,49.0,M,Bangalore,10/06/2024,44019.04,81.34,No,24
U1012,User 12,37.0,male,,2024-06-26,71817.02,164.09,0,3
U1013,User 13,42.0,Male,mumbai,10/12/2024,58364.42,186.43,yes,26
U1014,User 14,48.0,Female,Pune,18/03/2024,78329.99,143.4,YES,27
U1015,User 15,40.0,  Female ,Pune,21/09/2024,56993.51,76.51,YES,47
U1016,User 16,42.0,M,,2025-01-04,62125.65,249.31,True,4
U1017,User 17,33.0,Female,Mumbai,2025-01-01,52021.79,152.06,1,57
U1018,User 18,32.0,Male,Hyderabad,,,138.68,0,26
U1019,User 19,54.0,female,Hyderabad,,71405.84,146.14,no,56
U1020,User 20,24.0,F,Hyderabad,09-06-2024,35430.1,308.7,YES,31
U1021,User 21,32.0,M,Pune,2024-12-25,66943.71,83.81,yes,90
U1022,User 22,26.0,M,Delhi,03-11-2024,74391.06,234.97,1,48
U1023,User 23,27.0,Male,DELHI,05/09/2024,55135.89,72.51,True,98
U1024,User 24,41.0,,Mumbai,,68297.93,188.11,No,86
U1025,User 25,26.0,Female,Mumbai,,79191.92,75.06,False,74
U1026,User 26,27.0,Male,,2024-04-19,53999.61,268.82,False,30
U1027,User 27,60.0,F,Hyderabad,2024-01-09,61963.96,187.32,yes,84
U1028,User 28,63.0,F,Mumbai,01-16-2025,47189.03,45.88,False,21
U1029,User 29,39.0,Male,Bengaluru,04/05/2024,65460.82,196.84,True,80
U1030,User 30,34.0,Female,Delhi,01-12-2024,38865.23,151.69,1,21
U1031,User 31,44.0,Female,Delhi,2024-07-13,67858.98,56.06,YES,53
U1032,User 32,25.0,M,Hyderabad,2024-07-27,83545.15,341.4,No,9
U1033,User 33,30.0,Other,,2025-01-31,40020.57,151.04,True,57
U1034,User 34,61.0,female,DELHI,12-19-2024,79999.32,163.38,No,15
U1035,User 35,20.0,  Female ,Hyderabad,2024-12-06,55659.6,134.96,False,  88 
U1036,User 36,57.0,Female,mumbai,02-22-2024,44733.07,169.14,no,30
U1037,User 37,60.0,F,Pune,01-25-2024,52543.11,85.66,no,98
U1038,User 38,29.0,male,Mumbai,2024-08-30,56921.81,76.35,True,23
U1039,User 39,41.0,male,Delhi,,49273.85,154.83,yes,75
U1040,User 40,49.0,Female,Bangalore,2024-05-04,76899.25,58.47,1,8
U1041,User 41,27.0,Female,Mumbai,14/05/2024,51460.05,120.73,no,56
U1042,User 42,51.0,Male,Mumbai,08/10/2024,62113.01,81.19,1,95
U1043,User 43,61.0,Female,Delhi,2024-12-09,94544.06,25.61,YES,23
U1044,User 44,41.0,Male,Bengaluru,12/05/2024,53313.25,97.9,yes,8
U1045,User 45,58.0,Male,mumbai,,47644.12,259.61,True,60
U1046,User 46,45.0,male,Delhi,24/01/2025,49559.69,173.74,yes,74
U1047,User 47,,Other,mumbai,,76459.06,278.53,No,27
U1048,User 48,57.0,Male,Mumbai,2024-06-09,54651.87,104.84,YES,27
